codigo,nombre
737998257,La Campina
737999435,Guayaquil
737998219,Vipasa
737996837,Lourdes
737997031,Villanueva
737996797,San Pedro Claver
738000404,Santa Elena
737999419,El Sena
737998819,La Libertad
738000389,El Trebol
737998896,Jorge Eliecer Gaitan
737998100,Olímpico
737998084,Lleras Camargo
737998112,Altos de Santa Isabel La Morelia
737998238,San Judas Tadeo II
738000403,Caney
737998815,Rafael Uribe
737996870,Colinas del Sur
737997029,Los Sauces
737998847,El Gran Limonar
737999432,El Pondaje
737995770,Asprosocial Diamante
737998268,Alfonso Barberena
737999431,Alameda
737996724,Terrón Colorado
737996678,Sector Patio Bonito
737996969,Cuarteles Nápoles
737996814,Aguablanca
737999416,Sucre
737996788,Normandía
737999403,San Fernando Viejo
737997192,Villamercedes I-Villaluz-Las Garzas
737999422,Paseo de los Almendros
737996869,Los Farallones
737998088,La Sultana
738000119,Los Parques
737998229,La Isla
737998111,Los Cambulos
737998169,La Cascada
737998098,Departamental
738000069,Olaya Herrera
737998164,Bretana
737996846,Mario Correa Rengifo
737995768,E. Santos
737996739,Vallado
737999429,Ciudad 2000
737998270,Atanasio Girardota
738000390,Ulpiano Lloreda
737998095,Unidad Residencial Santiago de Cali
737998934,Primero de Mayo
737996696,Aguacatal
738002275,San Antonio
737999421,La Alianza
737997199,Las Orquídeas
738000380,Saavedra Galindo
737998941,La Hacienda
737998905,La Rivera
737999391,Los Naranjos I
737998835,Aranjuez
737999396,Alirio Mora Beltrán
737998882,Urbanización Calimio
738000379,Ciudad Campestre
737998124,Urbanización Militar
737999418,Los Andes
737996798,20 de Julio
737998242,La Floresta
737996824,El Prado
737998289,Manuel María Buenventura
738001428,U Dep Galindo Plaza Toros
737998110,Belisario Caicedo
738000384,Ciudad Universitaria
737996984,Horizontes
737998255,La Paz
737995767,Calypso
737996726,El Vergel
737998269,Santa Fe
737998286,León XII
737998231,El Guabal
737996752,Arboledas
737998913,Villa del Sol
737996829,El Refugio
737999441,Lleras Restrepo II
737998684,Santa Bárbara
737998852,Los Portales-Nuevo Rey
737999430,Rodrigo Lara Bonilla
737998878,Los Alcázares
737998768,Municipal
737998042,Fepicol
738001440,Canaveralejo-Seguros Patria
738000412,Quintas de Don Simón
737996833,Prados de Oriente
737999427,Urbanización Tequendama
737998838,Calima
737998182,Guillermo León Valencia
737997009,Los Andes B-La Riviera
737998173,Canaveral
738002246,San Francisco-Berlín
737998266,Juanambu
737998763,Parque de la Caña
737996983,Meléndez
738013838,12 de Octubre
738012975,El Poblado II
738000383,Urbanización Ciudad Jardín
738017969,Las Acacias
737998853,El Hoyo
737998285,La Fortaleza
737999425,Los Lagos
738000392,Fenalco Kennedy
737998271,Santa Mónica Popular
737998119,Colseguros Andes
737996913,Unión de Vivienda Popular
737998080,Siloe
737998935,San Nicolás
738017956,Brisas del Limonar
738000114,Torres de Comfandi
737996836,Los Chorros
737998767,El Troncal
737998749,Jorge Isaacs
738000362,Chapinero
737998907,Petecuy II
737997030,Mariano Ramos
738000391,Lleras Restrepo
737998244,Canaverales Los Samanes
737998287,La Merced
737998883,San Luis II
738001426,Cuarto de Legua-Guadalupe
737996760,Los Comuneros I
737999417,La Esperanza
737999392,Los Naranjos II
737998640,El Nacional
737999367,Puerto Nuevo
737998202,Ciudad Los Álamos
737998828,Sector Puente del Comercio
737998830,Altos de Menga
737998639,El Mortinal
737998910,Petecuy III
737999439,La Base
737998829,Golondrinas Colina de los Cerros I
737998290,Barrio Obrero
737998895,San Luis
738000115,Flora Industrial
737996735,Antonio Nariño
738001442,Camino Real-Joaquín Borrero
737998687,Acueducto San Antonio
737999387,El Ángel del Hogar
737998752,Porvenir
737998264,La Selva
737998101,U Dep Panamericana Ant Hipódromo
737998953,Villa Blanca
737998283,Santo Domingo
737998797,Bolivariano
737999428,Omar Torrijos
737997139,José Holguin Garces
738001427,Pampalinda
737998282,Jorge Zawadsky
737998954,San Carlos
737998075,Los Líderes
737998149,La Flora
737997033,Nápoles
737997004,San Marino
737998181,Marco Fidel Suarez
737996733,Santa Teresita
738000401,Belalcazar
737996759,El Retiro
737998809,Bello Horizonte
737999420,Evaristo García
737998023,Alfonso Bonilla Aragón
737998912,El Calvario
737996850,Prados del Sur
737996847,Primitivo Crespo
738000363,Unidad Residencial Bueno Madrid
737998940,Bosques del Limonar
737996762,Bellavista
737998811,Industria de Licores
737998942,El Limonar
737998082,Barrio Eucarístico
737998816,El Dorado
737999426,Nueva Granada
737996787,Laureano Gómez
737998812,Prados del Norte
737998825,Ciudadela Floralia
737998043,Pizamos II
737998081,Pueblo Joven
737998025,Manuela Beltrán
737998798,Popular
737996745,Sindical
737996744,Yira Castro
737997006,Alfonso López I
737999386,Planta de Tratamiento
737998932,El Piloto
738000388,Urbanización La Nueva Base
737996731,Los Comuneros II
738000407,Urbanización San Juaquín
737998256,El Bosque
737996728,Santa Rita
737997188,Ville Grande
737999415,El Jardín
737998105,Tejares-Cristales
737999414,San Fernando Nuevo
737996972,Alto Nápoles
737998272,Asturias
737998826,Los Guaduales
737996834,Caldas
737997008,Los Pinos
738000399,Nueva Floresta del Ict
737998204,Versalles
737998120,Champagnat
737996845,Buenos Aires
737998099,Panamericano
737998909,Petecuy I
737998284,El Rodeo
737995777,Los Rubles
737999400,Metropolitano del Norte
737998087,El Cedro
737998037,Compartir
737997005,Villa del Prado-El Guabito
738002274,San Cayetano
738000376,La Playa
737998834,Santa Mónica Belalcazar
737998193,San Pascual
737998091,El Lido
737999409,Salomia
737998070,Puerta del Sol
737997038,Maracaibo
737998195,Santa Rosa
737998754,Las Delicias
738000402,Zona de Reserva Agrícola
737996909,Bajos Ciudad Córdoba
737998851,Ciudad Capri
737998939,Ricardo Balcazar
738017957,La Alborada
737997073,La Independencia
737998694,Miraflores
737998227,Altos de Normandía-Bataclan
737996993,Alférez Real
737998275,Centenario
738000350,Villa del Lago
737999412,La Gran Colombia
738000366,Mayapan-Las Vegas
737998079,El Cortijo
737998955,José M. Córdoba
737998956,Primavera
737998113,Belén
737998030,Calimio Desepaz
738018074,San Cristobal
737999424,Marroquin III
737998129,Camino Real-Los Fundadores
737999388,José Manuel Marroquin II
737998259,Granada
737999406,Santa Isabel
737999437,Ciudadela Paso Ancho
738000351,Siete de Agosto
737998034,Potrero Grande
737995769,Julio Rincón
738000378,Club Campestre
737998922,Cataya-El Gran Limonar
737998952,Laguna del Pondaje
737996971,El Jordán
737998097,Pasoancho
737997181,José Manuel Marroquin I
737997003,Las Ceibas
737998109,Unidad Residencial El Coliseo
737998241,San Judas Tadeo I
737996914,República de Israel
737998810,El Paraíso
737996970,Polvorines
737999366,Puerto Mallarino
737999433,Villa Colombia
737998921,Santa Anita
737998090,3 de Julio
738000365,Sector Meléndez
737998207,Urbanización La Merced
737998251,San Vicente
738000381,Benjamín Herrera
737998194,Santa Mónica Residencial
737998036,Ciudad Talanga
737997089,Villa del Sur
738000386,La Ciudadela Confandi
737998171,Área Libre-Parque del Amor
737998845,Cristobal Colón
737999399,Chiminangos I
737998041,Pizamos I
737998085,Tierra Blanca
737996828,El Recuerdo
737996810,Parcelaciones Pance
737996727,Sector Bosque Municipal
737996734,El Poblado
737996915,San Benito
737998071,Promociones Populares
737997013,Francisco Eladio Ramírez
737998772,Las Américas
737998252,Chipichape
737996782,Mojica
738000377,Unicentro Cali
737996827,Alto de los Chorros
737996973,Alto Jordán
737998753,Esmeralda
737998796,Manzanares
738000397,El Ingenio
737998832,San Pedro
738000382,Simón Bolivar
738018187,Urbanización Río Lili
737998106,Venezuela-Urbanización Cañaveralejo
737998174,Urbanización La Flora
738002245,Fátima
737998683,Navarro-La Chanca
737998281,Las Granjas
738068452,Junin
737998761,Industrial
737998692,Los Libertadores
737998805,Santander
737996910,Ciudad Córdoba
737999398,Chiminangos II
737998848,Paseo del Comercio
737999438,San Juan Bosco
737998076,El Remanso
