num_doc,tipo_doc,canal,cod_dispositivo,num_trx
6861792605025121524,1,POS,14812028,3
1552970090928921643,1,POS,14388938,3
-4075904842556875666,1,POS,12370698,1
3539339627033221084,1,POS,10313583,2
5595554501572542610,1,POS,14358071,4
-1611987475937005396,1,POS,12152989,1
-7020300459559789010,1,POS,11576899,1
-109591158799621998,1,POS,11863172,1
-415411067899602802,1,POS,11272457,1
-6835723515635302412,1,POS,10005445,1
-6802101856221647250,2,POS,11303609,1
1083075446973846111,1,POS,10604916,6
-7631756135957620435,1,POS,10313781,2
3443389306735427854,1,POS,14540827,34
-5952193859738193296,1,POS,12779393,1
-6068506710948077628,1,POS,13550629,1
-7965420370653275181,1,POS,13575071,3
-1987095039823986797,1,POS,11341260,1
-4719754031096582867,1,POS,11397643,4
-3009551955940993628,1,POS,11066180,1
-7145086930867520680,1,POS,13369590,1
5302863241492815180,1,POS,11096278,1
-3094311818434960058,1,POS,14185151,2
-407642888465745438,1,POS,11531308,1
-4975281926608832645,1,POS,11540804,1
927577048815458833,1,POS,13255047,1
-2837408266212191267,1,POS,13388707,1
-3725548944479039869,1,POS,15476302,1
-4055705574794531369,1,POS,11463007,2
8167427090102628270,1,POS,11601630,1
3581275027477818288,1,POS,10604916,18
5557768610713368863,1,POS,12078598,1
3949050160426632961,1,POS,13336466,1
7723299635467742687,1,POS,10305233,1
1953272888503910904,1,POS,13541800,1
-2275324502661702151,1,POS,14755508,1
1859879485725137782,1,POS,12302436,1
121597407437078367,1,POS,12201554,1
-6306348899157174958,1,POS,12302386,1
-7418197364969602256,1,POS,13198510,2
3146649056341123696,1,POS,14312961,3
3758696084976447505,1,POS,11127065,4
7202603557917325505,1,POS,11096278,1
597275936554222325,1,POS,10327682,1
-982128872141133516,1,POS,13800750,1
-6070634288094959506,1,POS,13821145,1
-6718036397264590426,1,POS,15091770,1
3949050160426632961,1,POS,14214894,2
6286502101250434725,1,POS,13289657,3
7146762631732757830,1,POS,14524102,1
2873464731651206590,1,POS,11540085,6
2698762617604620613,1,POS,11463007,2
6199442504166357746,1,POS,11254026,2
3379985087258147963,1,POS,14304075,1
-8023386482246137839,1,POS,11843760,1
-3087708314966327765,1,POS,10602407,2
2215135691114627330,1,POS,14311997,8
-7709419522772666769,1,POS,10602407,1
-3803830185018898508,1,POS,10315497,1
-2648621156307441582,1,POS,11792751,1
4107310317500506344,1,POS,14015358,1
3148818955445756105,1,POS,11805868,1
-5565968660104638654,1,POS,11732088,4
-4700736333578404322,1,POS,14314520,6
8675367104483531417,1,POS,12679510,1
-2939923719475523356,1,POS,10336139,3
-87024915774624590,1,POS,12621421,2
8902680471646944349,1,POS,13947387,5
-1076773904980335023,1,POS,12801197,4
-5066077049535851626,1,POS,10773455,2
-1438953278771482431,1,POS,14835797,1
2214959352829479337,1,POS,10668622,1
8704840164365410833,1,POS,14962260,1
-973335393250650569,1,POS,14474746,1
1274984866458701403,1,POS,11815180,2
-8068701348715503872,1,POS,13284518,1
-6243917925101691976,1,POS,11867314,1
-5776080001545451787,1,POS,13021282,1
-2300060545351633754,1,POS,14214894,1
8232016917354496550,2,POS,12445185,1
-1850652777659204460,1,POS,12302378,3
5593337619122437078,1,POS,10313773,1
203603950099350313,1,POS,10327682,11
8681641385875568878,1,POS,14008353,2
-8290849026888217378,1,POS,13630363,2
-6510513553269369885,1,POS,13441050,1
-2981664927881077459,1,POS,11940665,11
7146762631732757830,1,POS,14311997,1
6893302338141865046,1,POS,14607196,1
696757799857584553,1,POS,12866471,1
3583655225225241917,1,POS,11608452,2
-4723307271425891482,1,POS,12810560,1
-7928376737739723375,1,POS,15213341,1
8425167983323943167,1,POS,15213341,1
-2862654350798362092,1,POS,13015987,1
2685447207504279478,1,POS,15254519,1
2440387109905800294,1,POS,14867923,3
-9111088387403151886,1,POS,14353692,1
5851358460348794195,1,POS,10778520,1
1071693800328936523,1,POS,12419040,1
94286789781875520,1,POS,14427488,3
-2461998014950111932,1,POS,13167382,1
-3438435893781993170,1,POS,10313583,2
-7259676170956872435,1,POS,11815180,3
-2621449751315385904,1,POS,13190616,1
-3695904279764497665,1,POS,13896956,3
-6550586610403660158,1,POS,15251556,2
-5761470530624714594,1,POS,12717039,1
6498807501357468622,1,POS,15593536,1
7616645866524970388,1,POS,13413984,1
7375796124629268432,1,POS,14752851,1
1689334183361150499,1,POS,10305233,1
5818661188046187800,1,POS,14292130,1
5231218748597275864,1,POS,14001291,2
7716006063543891938,1,POS,13575071,10
-644579081799585466,1,POS,11475787,1
7817155872797041656,1,POS,14405559,1
-6806935765734096567,2,POS,10313583,13
-3738137938936794329,1,POS,13318233,1
-94286440283088561,1,POS,12561528,2
-2467777997133638069,1,POS,10666576,2
714543037155044598,1,POS,14292130,1
2360442545302020649,1,POS,11790706,1
5807856896861462797,1,POS,14292130,1
4153740058425851806,1,POS,15322241,1
7945476973036590746,1,POS,14326664,1
-6560184178674235258,1,POS,14015341,24
2437178310241174918,1,POS,12302378,2
8773652492152211399,1,POS,14408041,36
-7343272715077038754,1,POS,14215370,1
-5791329717693361241,1,POS,13252663,1
8680986437200902342,1,POS,15084791,6
-772052953418590225,1,POS,10932812,1
-1438953278771482431,1,POS,11174554,1
-7376624464379485203,1,POS,10577138,1
-3695904279764497665,1,POS,14227300,2
-2559927509367529475,1,POS,13425566,1
7366200254719993734,1,POS,13046479,1
-5761470530624714594,1,POS,11561842,1
8563555927505217445,1,POS,15756968,1
9144295405406454526,1,POS,11587953,1
2430192732184101794,1,POS,10531317,1
-6615405885977536892,1,POS,11531308,1
-5040612195235014033,1,POS,11303609,1
1118105154346309743,1,POS,12993333,3
3785376175516210347,1,POS,12445185,1
-4632120054942174866,1,POS,11101714,1
-3579069137019478749,1,POS,15528193,1
-3168660669405605108,1,POS,15390644,1
7359549785015937094,1,POS,14185227,1
4251358838232561199,1,POS,10932812,1
-5649383352972193638,1,POS,11857968,2
-3311322937175334971,1,POS,11475811,1
2688024907800909620,1,POS,15084791,4
