"id_cliente","nombre_barrio","num_trx","pct"
1567023207759444,"Unicentro Cali",1,1.3
1567023207759444,"Urbanización Militar",1,1.3
3725429380492324,"El Sena",2,3.9
3725429380492324,"Los Alcázares",1,3.9
3725429380492324,"Los Guaduales",3,3.9
10262142017143448,"Chipichape",28,38.35
10262142017143448,"Lili",2,38.35
10262142017143448,"San Pedro",1,38.35
10262142017143448,"San Vicente",1,38.35
10262142017143448,"Santa Mónica Residencial",3,38.35
10262142017143448,"Versalles",24,38.35
13916023891143502,"San Pedro",1,2.6
15090641875418456,"San Pedro",3,4.55
15090641875418456,"Unidad Residencial Santiago de Cali",3,4.55
15090641875418456,"Urbanización Militar",1,4.55
20250971554063288,"Chipichape",14,32.5
20250971554063288,"Las Delicias",1,32.5
25952386097622068,"Barrio Eucarístico",5,5.85
25952386097622068,"San Fernando Nuevo",2,5.85
25952386097622068,"Urbanización Tequendama",2,5.85
26229707621584700,"Ciudad Córdoba",1,1.95
27779901964454640,"Urbanización San Juaquín",1,29.25
37621583285481016,"Ciudad Córdoba",4,6.5
37621583285481016,"Junin",3,6.5
37621583285481016,"Mariano Ramos",2,6.5
37621583285481016,"Unión de Vivienda Popular",1,6.5
38189980054649032,"Ciudadela Floralia",3,4.55
38189980054649032,"Los Alcázares",1,4.55
38189980054649032,"Meléndez",3,4.55
42713176869523880,"Barrio Eucarístico",1,43.55
42713176869523880,"Belalcazar",1,43.55
42713176869523880,"Bosques del Limonar",2,43.55
42713176869523880,"Camino Real-Joaquín Borrero",1,43.55
42713176869523880,"Centenario",1,43.55
42713176869523880,"Ciudad Capri",3,43.55
42713176869523880,"Ciudad Los Álamos",1,43.55
42713176869523880,"Colseguros Andes",1,43.55
42713176869523880,"El Bosque",2,43.55
42713176869523880,"El Cedro",5,43.55
42713176869523880,"El Dorado",2,43.55
42713176869523880,"El Guabal",1,43.55
42713176869523880,"El Ingenio",4,43.55
42713176869523880,"El Peñón",3,43.55
42713176869523880,"La Flora",2,43.55
42713176869523880,"Las Delicias",1,43.55
42713176869523880,"Los Cambulos",3,43.55
42713176869523880,"Los Sauces",2,43.55
42713176869523880,"Olímpico",5,43.55
42713176869523880,"Parque de la Caña",3,43.55
42713176869523880,"San Pedro",3,43.55
42713176869523880,"Santander",1,43.55
42713176869523880,"Unidad Residencial Santiago de Cali",1,43.55
42713176869523880,"Urbanización La Flora",1,43.55
42713176869523880,"Urbanización Militar",9,43.55
42713176869523880,"Urbanización San Juaquín",2,43.55
42713176869523880,"Urbanización Tequendama",3,43.55
42713176869523880,"Versalles",1,43.55
42713176869523880,"Vipasa",2,43.55
45529658525595568,"Parcelaciones Pance",1,1.3
45529658525595568,"San Pedro",1,1.3
50714269855648272,"Camino Real-Joaquín Borrero",1,16.25
50714269855648272,"Mayapan-Las Vegas",1,16.25
50714269855648272,"Unicentro Cali",4,16.25
50714269855648272,"Urbanización San Juaquín",1,16.25
55658727642829640,"Chipichape",2,13
55658727642829640,"El Gran Limonar",3,13
57891327940660200,"Alirio Mora Beltrán",1,9.75
57891327940660200,"San Fernando Viejo",1,9.75
60946056029565264,"Chipichape",2,7.15
60946056029565264,"El Cedro",1,7.15
60946056029565264,"Prados del Norte",3,7.15
60946056029565264,"San Pedro",2,7.15
60946056029565264,"San Vicente",3,7.15
61955900700062640,"Centenario",1,3.9
61955900700062640,"Urbanización Tequendama",1,3.9
66100438137995936,"Colseguros Andes",4,40.95
66100438137995936,"Junin",1,40.95
66100438137995936,"Mayapan-Las Vegas",2,40.95
66100438137995936,"San Pedro",1,40.95
66100438137995936,"Santander",11,40.95
66685761422624296,"Alférez Real",1,177.45
66685761422624296,"Caney",1,177.45
66685761422624296,"Centenario",24,177.45
66685761422624296,"Chipichape",5,177.45
66685761422624296,"Ciudad Campestre",1,177.45
66685761422624296,"Ciudad Capri",41,177.45
66685761422624296,"El Cedro",4,177.45
66685761422624296,"El Gran Limonar",1,177.45
66685761422624296,"El Ingenio",1,177.45
66685761422624296,"El Sena",1,177.45
66685761422624296,"Juanambu",2,177.45
66685761422624296,"La Alianza",1,177.45
66685761422624296,"Lili",10,177.45
66685761422624296,"Los Alcázares",3,177.45
66685761422624296,"Mayapan-Las Vegas",3,177.45
66685761422624296,"San Pedro",75,177.45
66685761422624296,"Santa Teresita",5,177.45
66685761422624296,"Santander",1,177.45
66685761422624296,"Unicentro Cali",14,177.45
66685761422624296,"Unidad Residencial Santiago de Cali",6,177.45
66685761422624296,"Urbanización La Flora",2,177.45
66685761422624296,"Urbanización Militar",18,177.45
66685761422624296,"Urbanización San Juaquín",53,177.45
66854682937278192,"El Cedro",7,9.75
66854682937278192,"Junin",3,9.75
66854682937278192,"Urbanización Militar",4,9.75
66854682937278192,"Urbanización San Juaquín",1,9.75
67711444341084384,"El Limonar",5,25.35
67711444341084384,"La Hacienda",6,25.35
67711444341084384,"Primero de Mayo",8,25.35
67711444341084384,"Unicentro Cali",16,25.35
67711444341084384,"Urbanización Militar",4,25.35
75637907685171600,"Ciudad Capri",3,5.85
75637907685171600,"El Cedro",3,5.85
75637907685171600,"San Fernando Nuevo",1,5.85
75637907685171600,"San Vicente",1,5.85
75637907685171600,"Urbanización Militar",1,5.85
75761627077809584,"Alameda",9,63.05
75761627077809584,"Alfonso López I",1,63.05
75761627077809584,"Atanasio Girardota",1,63.05
75761627077809584,"Chapinero",21,63.05
75761627077809584,"Compartir",1,63.05
75761627077809584,"Desepaz Invicali",14,63.05
75761627077809584,"El Calvario",1,63.05
75761627077809584,"El Hoyo",2,63.05
75761627077809584,"El Sena",1,63.05
75761627077809584,"Industrial",1,63.05
75761627077809584,"Jorge Eliecer Gaitan",2,63.05
75761627077809584,"Juanambu",1,63.05
75761627077809584,"Junin",1,63.05
75761627077809584,"La Alianza",1,63.05
75761627077809584,"Las Delicias",4,63.05
75761627077809584,"Parcelaciones Pance",4,63.05
75761627077809584,"Planta de Tratamiento",2,63.05
75761627077809584,"Prados del Norte",1,63.05
75761627077809584,"San Antonio",3,63.05
75761627077809584,"San Nicolás",7,63.05
75761627077809584,"San Pedro",4,63.05
75761627077809584,"Santa Fe",1,63.05
75761627077809584,"Santa Rosa",1,63.05
75761627077809584,"Santander",4,63.05
75761627077809584,"Sucre",2,63.05
75761627077809584,"Unicentro Cali",2,63.05
75761627077809584,"Urbanización San Juaquín",1,63.05
75761627077809584,"Villa del Prado-El Guabito",2,63.05
75761627077809584,"Ville Grande",1,63.05
75761627077809584,"Vipasa",1,63.05
81068989482724272,"San Pedro",2,2.6
81068989482724272,"Urbanización La Flora",2,2.6
81094735142547824,"Urbanización San Juaquín",1,5.85
82354658491557440,"Chipichape",2,3.25
82354658491557440,"El Sena",3,3.25
94286789781875520,"Área Libre-Parque del Amor",40,119.6
94286789781875520,"Centenario",3,119.6
94286789781875520,"Chipichape",36,119.6
94286789781875520,"Ciudad Los Álamos",33,119.6
94286789781875520,"Cuarto de Legua-Guadalupe",6,119.6
94286789781875520,"El Bosque",3,119.6
94286789781875520,"El Peñón",2,119.6
94286789781875520,"El Sena",1,119.6
94286789781875520,"Granada",1,119.6
94286789781875520,"Junin",5,119.6
94286789781875520,"La Flora",2,119.6
94286789781875520,"La Merced",2,119.6
