"id","FRAUDE","VALOR","HORA_AUX","Dist_max_NAL","Canal1","FECHA","COD_PAIS","CANAL","DIASEM","DIAMES","FECHA_VIN","OFICINA_VIN","SEXO","SEGMENTO","EDAD","INGRESOS","EGRESOS","NROPAISES","Dist_Sum_INTER","Dist_Mean_INTER","Dist_Max_INTER","NROCIUDADES","Dist_Mean_NAL","Dist_HOY","Dist_sum_NAL"
9000000007,1,0,14,659.13,"ATM_INT",20150526,"CR","ATM_INT",2,26,20080409,210,"M","Personal Plus",29,2100000,310000,2,8616.02,4308.01,4308.01,5,342.47,1482.35,2739.72
9000000011,1,0,18,238.34,"ATM_INT",20150513,"CR","ATM_INT",3,13,20100624,17,"F","Personal Plus",26,1500000,1000000,3,16813.9,4203.47,4552.41,2,238.34,1482.35,476.68
9000000017,0,0,21,97.1,"ATM_INT",20150521,"FJ","ATM_INT",4,21,20130608,424,"M","Personal",22,600000,200000,3,19781.13,9890.57,15228.72,3,57.26,20736.96,229.06
9000000028,0,22997,11,659.13,"POS",20150502,"US","POS",6,2,20101001,582,"F","Personal Plus",27,10500000,2000000,2,27314.46,4552.41,4552.41,4,324.12,4552.41,2268.86
9000000029,0,22997,11,659.13,"POS",20150502,"US","POS",6,2,20101001,582,"F","Personal Plus",27,10500000,2000000,2,27314.46,4552.41,4552.41,4,324.12,4552.41,2268.86
9000000030,1,24347,22,352.24,"ATM_INT",20150516,"EC","ATM_INT",6,16,20020926,430,"F","Personal Plus",24,3000000,2500000,5,39255.32,4361.7,10507.27,3,133.14,904.81,399.43
9000000034,0,83656,11,340.09,"POS",20150517,"US","POS",0,17,20130604,267,"F","Personal Plus",25,2500000,250000,2,113810.25,4552.41,4552.41,3,262.57,4552.41,9715.16
9000000037,0,167287,12,30.2,"POS",20150524,"PA","POS",0,24,20060711,191,"M","Personal Plus",27,3202420,300000,2,4175.65,1043.91,1043.91,2,30.2,1043.91,543.66
9000000038,0,183791,19,304.29,"POS",20150515,"US","POS",5,15,20100818,586,"M","Personal Plus",26,1640038,200000,3,63072.32,5733.85,7857.49,4,161.51,4552.41,1938.09
9000000039,0,210407,21,973.95,"POS",20150526,"AR","POS",2,26,20101006,19,"M","Personal Plus",28,5623697,500000,2,18209.64,4552.41,4552.41,8,143.64,4308.01,6463.95
9000000040,0,214246,13,279.77,"POS",20150515,"US","POS",5,15,20110304,907,"M","Personal Plus",24,2000000,0,5,27357.87,3908.27,7857.49,5,144.63,4552.41,1157.01
9000000041,1,238806,12,23.31,"POS",20150503,"US","POS",0,3,20120717,337,"F","Personal Plus",25,1500000,1200000,2,36419.28,4552.41,4552.41,2,23.31,4552.41,46.62
9000000042,1,238806,12,23.31,"POS",20150503,"US","POS",0,3,20120717,337,"F","Personal Plus",25,1500000,1200000,2,36419.28,4552.41,4552.41,2,23.31,4552.41,46.62
9000000064,1,101704.5,21,131.71,"ATM_INT",20150519,"US","ATM_INT",2,19,20120127,76,"F","Personal Plus",21,1800000,700000,3,6078.29,1519.57,1618.55,3,96.58,4552.41,386.33
9000000066,0,1025339.54,20,304.29,"POS",20150530,"US","MCI",6,30,20050719,586,"M","Personal Plus",28,8500000,2000000,5,42551.06,4255.11,7632.97,4,150.4,4552.41,902.42
9000000076,0,107462.07,12,243.62,"POS",20150501,"US","POS",5,1,20120531,331,"M","Personal Plus",27,7000000,2000000,2,63733.74,4552.41,4552.41,7,70.04,4552.41,2241.26
